﻿Assessment Instrument,Assessment Instrument Version,Item ID,Question Text,Section Name,Skip Pattern Trigger,Lookback Period,Item Uses,Item Subsets,Assessment Response Codes,Response Text,Copyright Indicator
OASIS,E-012023,A1005,"Ethnicity. Are you of Hispanic, Latino/a, or Spanish origin?",Section A. Administrative Information ,N,0,,DAH|DC|FU|ROC|SOC|TRN,A|B|C|D|E|X|Y,"No, not of Hispanic, Latino/a, or Spanish origin|Yes, Mexican, Mexican American, Chicano/a|Yes, Puerto Rican|Yes, Cuban|Yes, another Hispanic, Latino, or Spanish origin|{Patient/Resident/Person} unable to respond|{Patient/Resident/Person} declines to respond",N
OASIS,E-012023,A1010,Race. What is your race?,Section A. Administrative Information ,N,0,,DAH|DC|FU|ROC|SOC|TRN,A|B|C|D|E|F|G|H|I|J|K|L|M|N|X|Y|Z,White|Black or African American|American Indian or Alaska Native|Asian Indian|Chinese|Filipino|Japanese|Korean|Vietnamese|Other Asian|Native Hawaiian|Guamanian or Chamorro|Samoan|Other Pacific Islander|{Patient/Resident/Person} unable to respond|{Patient/Resident/Person} declines to respond|None of the above,N
OASIS,E-012023,A1110,Language,Section A. Administrative Information ,N,0,,DAH|DC|FU|ROC|SOC|TRN,,,N
OASIS,E-012023,A1110A,What is your preferred language?,Section A. Administrative Information ,N,0,,DAH|DC|FU|ROC|SOC|TRN, -|Text,Not assessed/no information|Preferred language,N
OASIS,E-012023,A1110B,Do you need or want an interpreter to communicate with a doctor or health care staff?,Section A. Administrative Information ,N,0,,DAH|DC|FU|ROC|SOC|TRN, -|0|1|9,Not assessed/no information|No|Yes|Unable to determine,N
OASIS,E-012023,A1250,"Transportation (from NACHC). Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed from daily living? ",Section A. Administrative Information ,N,0,,DC|ROC|SOC|TRN,A|B|C|X|Y,"Yes, it has kept me from medical appointments or from getting my medications|Yes, it has kept me from non-medical meetings, appointments, work, or from getting things that I need|No|{Patient/Resident/Person} unable to respond|{Patient/Resident/Person} declines to respond",Y
OASIS,E-012023,A2120,"Provision of Current Reconciled Medication List to Subsequent Provider at Transfer. At the time of transfer to another provider, did your agency provide the patient's current reconciled medication list to the subsequent provider?",Section A. Administrative Information ,Y,0,QM,TRN,0|1|2,No - Current reconciled medication list not provided to the subsequent provider|Yes - Current reconciled medication list provided to the subsequent provider|NA - The agency was not made aware of this transfer timely,N
OASIS,E-012023,A2121,"Provision of Current Reconciled Medication List to Subsequent Provider at Discharge. At the time of discharge to another provider, did your agency provide the patient's current reconciled medication list to the subsequent provider?",Section A. Administrative Information ,Y,0,QM,DC,^|0|1,Blank (skip pattern)|No - Current reconciled medication list not provided to the subsequent provider|Yes - Current reconciled medication list provided to the subsequent provider,N
OASIS,E-012023,A2122,Route of Current Reconciled Medication List Transmission to Subsequent Provider. ,Section A. Administrative Information ,N,0,QM,DC|TRN,^|A|B|C|D|E,"Blank (skip pattern)|Electronic Health Record|Health Information Exchange|Verbal (e.g., in-person, telephone, video conferencing)|Paper-based (e.g., fax, copies, printouts)|Other Methods (e.g., texting, email, CDs)",N
OASIS,E-012023,A2123,"Provision of Current Reconciled Medication List to Patient at Discharge. At the time of discharge, did your facility provide the patient's current reconciled medication list to the patient, family and/or caregiver?",Section A. Administrative Information ,Y,0,QM,DC,0|1,"No - Current reconciled medication list not provided to the {patient/resident/person}, family and/or caregiver|Yes - Current reconciled medication list provided to the {patient/resident/person}, family and/or caregiver",N
OASIS,E-012023,A2124,Route of Current Reconciled Medication List Transmission to Patient. Indicate the route(s) of transmission of the current reconciled medication list to the patient/family/caregiver.,Section A. Administrative Information ,N,0,QM,DC,^|A|B|C|D|E,"Blank (skip pattern)|Electronic Health Record|Health Information Exchange|Verbal (e.g., in-person, telephone, video conferencing)|Paper-based (e.g., fax, copies, printouts)|Other Methods (e.g., texting, email, CDs)",N
OASIS,E-012023,B0200,Hearing. Ability to hear (with hearing aid or hearing appliances if normally used),"Section B. Hearing, Speech, and Vision ",N,0,,DAH|DC|FU|ROC|SOC|TRN, -|0|1|2|3,"Not assessed/no information|Adequate - no difficulty in normal conversation, social interaction, listening to TV|Minimal difficulty - difficulty in some environments (e.g., when person speaks softly or setting is noisy)|Moderate difficulty - speaker has to increase volume and speak distinctly|Highly impaired - absence of useful hearing",N
OASIS,E-012023,B1000,Vision. Ability to see in adequate light (with glasses or other visual appliances),"Section B. Hearing, Speech, and Vision ",N,0,,DAH|DC|FU|ROC|SOC|TRN, -|0|1|2|3|4,"Not assessed/no information|Adequate - sees fine detail, such as regular print in newspapers/books|Impaired - sees large print, but not regular print in newspapers/books|Moderately impaired - limited vision; not able to see newspaper headlines but can identify objects|Highly impaired - object identification in question, but eyes appear to follow objects|Severely impaired - no vision or sees only light, colors or shapes; eyes do not appear to follow objects",N
OASIS,E-012023,B1300,"Health Literacy. How often do you need to have someone help you when you read instructions, pamphlets, or other written material from your doctor or pharmacy?","Section B. Hearing, Speech, and Vision ",N,0,,DC|ROC|SOC,0|1|2|3|4|7|8,Never|Rarely|Sometimes|Often|Always|{Patient/Resident/Person} declines to respond|{Patient/Resident/Person} unable to respond,Y
OASIS,E-012023,C0100,Should Brief Interview for Mental Status be Conducted? Attempt to conduct interview with all patients,Section C. Cognitive Patterns ,Y,0,,DC|ROC|SOC, -|0|1,Not assessed/no information|No ({patient/resident/person} is rarely/never understood)|Yes,N
OASIS,E-012023,C0200,"Repetition of Three Words - Ask patient: ""I am going to say three words for you to remember. Please repeat the words after I have said all three. The words are: sock, blue, and bed. Now tell me the three words."" Number of words repeated after first attempt",Section C. Cognitive Patterns ,N,0,,DC|ROC|SOC,^|-|0|1|2|3,Blank (skip pattern)|Not assessed/no information|None|One|Two|Three,N
OASIS,E-012023,C0300,"Temporal Orientation (orientation to year, month, and day)",Section C. Cognitive Patterns ,N,0,,DC|ROC|SOC,,,N
OASIS,E-012023,C0300A,"Ask patient: ""Please tell me what year it is right now."" Able to report correct year",Section C. Cognitive Patterns ,N,0,,DC|ROC|SOC,^|-|0|1|2|3,Blank (skip pattern)|Not assessed/no information|Missed by > 5 years or no answer|Missed by 2-5 years|Missed by 1 year|Correct,N
OASIS,E-012023,C0300B,"Ask patient: ""What month are we in right now?"" Able to report correct month",Section C. Cognitive Patterns ,N,0,,DC|ROC|SOC,^|-|0|1|2,Blank (skip pattern)|Not assessed/no information|Missed by > 1 month or no answer|Missed by 6 days to 1 month|Accurate within 5 days,N
OASIS,E-012023,C0300C,"Ask patient: ""What day of the week is today?"" Able to report correct day of the week",Section C. Cognitive Patterns ,N,0,,DC|ROC|SOC,^|-|0|1,Blank (skip pattern)|Not assessed/no information|Incorrect or no answer|Correct,N
